RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nint  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  9    M =  12

   it   nf  nint  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     9.343E-03  8.771E+00
    1    3     1     0  ---    1  4.3E+00  6.4E-02  1.721E-02  8.771E+00
    2    4     0     0  con    0  1.0E+00  5.7E-02  8.430E-03  8.770E+00
    3    5     0     0  con    0  1.0E+00  5.6E-02  7.088E-03  8.770E+00
    4    6     0     0  con    0  1.0E+00  4.1E-02  6.342E-03  8.770E+00
    5    7     0     0  con    0  1.0E+00  5.1E-02  4.307E-03  8.770E+00
    6    8     0     0  con    0  1.0E+00  2.4E-02  3.536E-03  8.770E+00
    7    9     0     0  con    0  1.0E+00  5.2E-03  1.246E-03  8.770E+00
    8   10     0     0  con    0  1.0E+00  2.9E-03  3.570E-04  8.770E+00
    9   11     0     0  con    0  1.0E+00  8.7E-04  4.073E-04  8.770E+00
   10   12     0     0  con    0  1.0E+00  6.3E-03  5.700E-04  8.770E+00
   11   13     0     0  con    0  1.0E+00  3.9E-03  3.141E-04  8.770E+00
   12   14     0     0  con    0  1.0E+00  3.1E-03  4.956E-05  8.770E+00
   13   15     0     0  con    0  1.0E+00  3.5E-04  2.256E-05  8.770E+00
   14   16     0     0  con    0  1.0E+00  1.1E-04  1.350E-05  8.770E+00
   15   17     0     0  con    0  1.0E+00  4.7E-05  5.507E-06  8.770E+00
   16   18     0     0  con    0  1.0E+00  2.1E-05  5.507E-06  8.770E+00
   17   19     0     0  con    0  1.0E+00  3.5E-05  6.573E-06  8.770E+00
   18   20     0     0  con    0  1.0E+00  1.1E-04  1.634E-05  8.770E+00
   19   22     0     0  con    1  5.0E+00  7.1E-04  3.890E-05  8.770E+00
   20   23     0     0  con    0  1.0E+00  8.2E-04  4.459E-05  8.770E+00
   21   24     0     0  con    0  1.0E+00  3.6E-03  6.359E-05  8.770E+00
   22   25     0     0  con    0  1.0E+00  1.5E-03  2.576E-05  8.770E+00
   23   26     0     0  con    0  1.0E+00  3.8E-04  3.144E-05  8.770E+00
   24   27     0     0  con    0  1.0E+00  1.9E-03  6.555E-05  8.770E+00
   25   28     0     0  con    0  1.0E+00  5.4E-03  1.153E-04  8.770E+00
   26   29     0     0  con    0  1.0E+00  1.2E-02  1.732E-04  8.770E+00
   27   30     0     0  con    0  1.0E+00  4.0E-02  2.997E-04  8.770E+00
   28   31     0     0  con    0  1.0E+00  7.9E-02  4.510E-04  8.770E+00
   29   32     0     0  con    0  1.0E+00  3.2E-01  7.287E-04  8.770E+00
   30   33     0     0  con    0  1.0E+00  7.2E-01  1.483E-03  8.770E+00
   31   34     0     0  con    0  1.0E+00  9.1E-01  1.208E-03  8.770E+00
   32   35     0     0  con    0  1.0E+00  2.1E+00  9.026E-04  8.770E+00
   33   36     0     0  con    0  1.0E+00  5.6E+00  1.348E-03  8.770E+00
   34   37     0     0  con    0  1.0E+00  1.0E+01  2.255E-03  8.769E+00
   35   38     0     0  con    0  1.0E+00  1.5E+01  6.476E-03  8.769E+00
   36   39     0     0  con    0  1.0E+00  8.8E+00  4.220E-03  8.769E+00
   37   40     0     0  con    0  1.0E+00  3.0E+01  5.139E-03  8.769E+00
   38   41     0     0  con    0  1.0E+00  6.4E+01  5.980E-03  8.769E+00
   39   42     0     0  con    0  1.0E+00  8.7E+01  8.623E-03  8.769E+00
   40   43     0     0  con    0  1.0E+00  3.8E+02  2.384E-02  8.769E+00
   41   44     0     0  con    0  1.0E+00  3.0E+01  1.599E-02  8.768E+00
   42   45     0     0  con    0  1.0E+00  1.1E+02  8.101E-03  8.767E+00
   43   46     0     0  con    0  1.0E+00  1.2E+02  6.339E-03  8.767E+00
   44   47     0     0  con    0  1.0E+00  1.4E+02  8.969E-03  8.767E+00
   45   48     0     0  con    0  1.0E+00  3.5E+01  2.425E-03  8.766E+00
   46   49     0     0  con    0  1.0E+00  4.3E+01  4.037E-03  8.766E+00
   47   50     0     0  con    0  1.0E+00  3.5E+01  3.053E-03  8.766E+00
   48   51     0     0  con    0  1.0E+00  1.9E+01  4.166E-03  8.766E+00
   49   52     0     0  con    0  1.0E+00  1.4E+01  5.345E-04  8.766E+00
   50   53     0     0  con    0  1.0E+00  3.2E+01  5.338E-04  8.766E+00
   51   54     0     0  con    0  1.0E+00  1.7E+01  3.572E-04  8.766E+00
   52   55     0     0  con    0  1.0E+00  7.2E-01  1.469E-04  8.766E+00
   53   56     0     0  con    0  1.0E+00  2.9E-01  1.883E-05  8.766E+00
   54   57     0     0  con    0  1.0E+00  5.0E-02  1.101E-05  8.766E+00
   55   59     0     0  con    1  5.2E-01  8.6E-03  7.994E-06  8.766E+00
   56   60     0     0  con    0  1.0E+00  1.7E-02  4.796E-06  8.766E+00
   57   61     0     0  con    0  1.0E+00  8.2E-03  1.243E-06  8.766E+00
   58   70     0     0  con    8  2.6E-06  2.3E-08  1.243E-06  8.766E+00

CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH             

 Total User time 1.622E+00 seconds.

0  1.0E+00  4.3E-03  3.730E-06  8.766E+00
   61   78     0     0  con   12  4.0E-06  1.2E-08  3.730E-06  8.766E+00

CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH             

 Warning:  more than 10 function and gradient
   evaluations in the last line search.  Termination
   may possibly be caused by a bad search direction.

 Total User time 1.841E+00 seconds.

00  2.1E-05  1.243E-06  8.757E+00
   66   73     0     0  con    0  1.0E+00  1.8E-05  5.329E-07  8.757E+00
   67   75     0     0  con    1  3.3E-01  8.5E-06  5.329E-07  8.757E+00
   68   77     0     0  con    1  2.7E-01  4.1E-06  5.329E-07  8.757E+00
   69   79     0     0  con    1  5.0E-01  4.4E-06  1.776E-07  8.757E+00
   70   80     0     0  con    0  1.0E+00  3.8E-06  3.553E-07  8.757E+00

CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH             

 Total User time 2.028E+00 seconds.

342E-03  8.770E+00
    5    7     0     0  con    0  1.0E+00  5.1E-02  4.307E-03  8.770E+00
    6    8     0     0  con    0  1.0E+00  2.4E-02  3.536E-03  8.770E+00
    7    9     0     0  con    0  1.0E+00  5.2E-03  1.246E-03  8.770E+00
    8   10     0     0  con    0  1.0E+00  2.9E-03  3.570E-04  8.770E+00
    9   11     0     0  con    0  1.0E+00  8.7E-04  4.073E-04  8.770E+00
   10   12     0     0  con    0  1.0E+00  6.3E-03  5.700E-04  8.770E+00
   11   13     0     0  con    0  1.0E+00  3.9E-03  3.141E-04  8.770E+00
   12   14     0     0  con    0  1.0E+00  3.1E-03  4.956E-05  8.770E+00
   13   15     0     0  con    0  1.0E+00  3.5E-04  2.256E-05  8.770E+00
   14   16     0     0  con    0  1.0E+00  1.1E-04  1.350E-05  8.770E+00
   15   17     0     0  con    0  1.0E+00  4.7E-05  5.507E-06  8.770E+00
   16   18     0     0  con    0  1.0E+00  2.1E-05  5.507E-06  8.770E+00
   17   19     0     0  con    0  1.0E+00  3.5E-05  6.573E-06  8.770E+00
   18   20     0     0  con    0  1.0E+00  1.1E-04  1.634E-05  8.770E+00
   19   22     0     0  con    1  5.0E+00  7.1E-04  3.890E-05  8.770E+00
   20   23     0     0  con    0  1.0E+00  8.2E-04  4.459E-05  8.770E+00
